food;ingredients;category;kitchen;food_url
Напиток с кокосом;яблоко, финики, изюм, миндаль, мякоть кокоса, молотая корица, имбирный сок, мускатный орех, молотая гвоздика, кокосовое молоко;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/napitok-s-kokosom-19073
Напиток клюквенный;свежая клюква, свекла, яблоко, сельдерей, лимон;Напитки;Русская кухня;https://eda.ru/recepty/napitki/napitok-kljukvennij-18958
Яблочно-огуречный напиток;лимонная цедра, огурцы, яблоко;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/jablochno-ogurechnij-napitok-18959
Напиток из хурмы;миндаль, финики, минеральная вода, хурма, мускатный орех, молотая корица, кардамон, имбирь;Напитки;Китайская кухня;https://eda.ru/recepty/napitki/napitok-iz-hurmi-19000
Напиток ягодный;свежая клюква, сахар, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/napitok-jagodnij-19700
Освежающий арбузный напиток;сахар, сок лайма, мякоть арбуза, колотый лед, вода;Напитки;Итальянская кухня;https://eda.ru/recepty/napitki/osvezhajuschij-arbuznij-napitok-28579
Имбирный напиток;лимон, свежий имбирь, мед, анис (бадьян), кипяток;Напитки;Индийская кухня;https://eda.ru/recepty/napitki/imbirnij-napitok-29230
Напиток из базилика;красный базилик , лимон, вода, сахар;Напитки;Кавказская кухня;https://eda.ru/recepty/napitki/napitok-iz-bazilika-51005
Напиток с плодами аноны;груши, ежевика, замороженные плоды аноны ;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/napitok-s-plodami-anoni-18997
Напиток из облепихи и имбиря;облепиха, имбирь, мед, вода;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/napitok-iz-oblepihi-i-imbirja-39798
Клюквенный напиток;анис (бадьян), замороженная клюква, вода, сахар, палочки корицы, гвоздика;Напитки;Русская кухня;https://eda.ru/recepty/napitki/kljukvennij-napitok-30446
Ягодный напиток;финики, бананы, клубника, малина, апельсиновый сок;Напитки;Веганская еда;https://eda.ru/recepty/napitki/jagodnij-napitok-18944
Напиток апельсиновый;сахар, апельсины, кислота лимонная, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/napitok-apelsinovij-29060
Кокосовый напиток;кокос, бананы, лайм, ванильный стручок, апельсины;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokosovij-napitok-18957
Согревающий напиток Эпл Натс;карамельный сироп, свежевыжатый яблочный сок, фундучное молоко, апельсиновый сироп;Напитки;Американская кухня;https://eda.ru/recepty/napitki/sogrevayuschiy-napitok-epl-nats-81055
Бодрящий напиток из шпината;шпинат, помидоры, морковь, лимон, огурцы;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/bodrjaschij-napitok-iz-shpinata-18951
Горячий клюквенный напиток с джином;клюква, корень имбиря, сахар, тимьян, джин, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/gorjachij-kljukvennij-napitok-s-dzhinom-53622
Напиток с кокосом и авокадо;кокос, авокадо, зелень;Напитки;Веганская еда;https://eda.ru/recepty/napitki/napitok-s-kokosom-avokado-18953
Напиток «Голубые Гавайи»;ром «бакарди», ликер «блу курасао», ананасовый сок, сахарный сироп, лимонный сок, ананас, листья мяты, коктейльная вишня ;Напитки;Американская кухня;https://eda.ru/recepty/napitki/napitok-golubie-gavaji-26787
Питательный клубничный напиток;миндаль, клубника, бананы, сине-зеленые водоросли, вода, специи, ваниль, морская соль;Напитки;Веганская еда;https://eda.ru/recepty/napitki/pitatelnij-klubnichnij-napitok-18961
Кокосово-ореховый напиток;кокос, кешью, орехи макадамия, финики, корень имбиря, молотая корица, кардамон, молотый черный перец, молотая гвоздика;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/kokosovo-orehovij-napitok-18992
Напиток яблочный с лимоном;зеленые яблоки, лимон, сахар, вода, мед, изюм;Напитки;Русская кухня;https://eda.ru/recepty/napitki/napitok-jablochnij-s-limonom-28358
Напиток из одуванчиков;листья одуванчика, яблоко, стебель сельдерея;Напитки;Русская кухня;https://eda.ru/recepty/napitki/napitok-iz-oduvanchikov-18993
Яблочно-ореховый напиток;молоко, апельсиновый сок, ванильный йогурт, арахисовое масло, колотый лед;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/jablochno-orehovij-napitok-20635
Лимонно-ячменный напиток;лимон, тростниковый сахар, перловая крупа;Напитки;Детское меню;https://eda.ru/recepty/napitki/limonno-jachmennij-napitok-23153
Согревающий напиток WinterВитамин;имбирный сироп, облепиха, ананасовый сок;Напитки;Американская кухня;https://eda.ru/recepty/napitki/sogrevayuschiy-napitok-wintervitamin-81054
Холодный кофейный напиток фраппучино (Frappuccino);черный кофе, молоко, сахар, шоколадный сироп, лед, взбитые сливки;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/holodnij-kofejnij-napitok-frappuchino-frappuccino-41387
Напиток из проростков пшеницы (Реджвелак);вода, ростки пшеницы;Напитки;Русская кухня;https://eda.ru/recepty/napitki/napitok-iz-prorostkov-pshenici-redzhvelak-39010
Мятно-имбирный согревающий напиток;имбирь, лимон, мята, цветы ромашки, сушеный шиповник, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/myatnoimbirny-sogrevaushchi-napitok-152348
Бело-сине-красный напиток;колотый лед, клюквенный сок, напиток gatorade голубой, диетический спрайт;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/belo-sine-krasnij-napitok-24226
Напиток имбирный с огурцами и мятой;минеральная вода, свежая мята, лайм, лимон, свежий имбирь, мед, огурцы;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/napitok-imbirnij-s-ogurcami-i-mjatoj-37866
Напиток из апельсиновых корок;апельсины, кислота лимонная, сахар, вода;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/napitok-iz-apelsinovih-korok-17242
Напиток из банана и тахини;бананы, тахини;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/napitok-iz-banana-tahini-18943
