food;ingredients;category;kitchen;food_url
Буузы (Традиционное бурятское блюдо);пшеничная мука, говяжий фарш, лук, вода, куриное яйцо, соль, молотый черный перец, свинина;Основные блюда;Бурятская кухня;https://eda.ru/recepty/osnovnye-blyuda/buuzi-tradicionnoe-burjatskoe-bljudo-42067
Пибимпап (корейское блюдо);папоротник, морковь, куриное яйцо, шпинат, рис, соевые бобы, соевый соус, кабачки, жареный кунжут, говядина, чеснок;Основные блюда;Корейская кухня;https://eda.ru/recepty/osnovnye-blyuda/pibimpap-koreyskoe-blyudo-49883
Мексиканское блюдо из фасоли и говяжьего фарша;репчатый лук, говяжий фарш, красная консервированная фасоль, зеленая стручковая фасоль (замороженная), замороженный зеленый горошек , томатная паста , аджика, сыр, сливочное масло, консервированная кукуруза;Основные блюда;Мексиканская кухня;https://eda.ru/recepty/osnovnye-blyuda/meksikanskoe-bljudo-iz-fasoli-i-govjazhego-farsha-40984
Вегетарианское блюдо чили за 15 минут;консервированная фасоль, черная консервированная  фасоль, консервированные помидоры, овощной бульон, зеленый консервированный перец чили;Основные блюда;Европейская кухня;https://eda.ru/recepty/osnovnye-blyuda/vegetarianskoe-blyudo-chili-za-15-minut-57609
Острое блюдо из нута, томатов и шпината;репчатый лук, чеснок, тертый имбирь, помидоры, растительное масло, молотый тмин, молотый кориандр , куркума, перец чили хлопьями, сухие дрожжи, красная чечевица, кокосовый крем, капуста брокколи, консервированный нут, шпинат, лимон, жареный кунжут, кешью;Основные блюда;Европейская кухня;https://eda.ru/recepty/osnovnye-blyuda/ostroe-blyudo-iz-nuta-tomatov-i-shpinata-57092
Вегетарианское блюдо из фасоли и бобов с чили чипотле;черная консервированная  фасоль, белые консервированные бобы, консервированные помидоры, консервированный перец халапеньо, лук, мелко рубленный чеснок, порошок чили, сладкая паприка, сушеная кинза (кориандр), молотый черный перец, перец чипотле;Основные блюда;Европейская кухня;https://eda.ru/recepty/osnovnye-blyuda/vegetarianskoe-blyudo-iz-fasoli-i-bobov-s-chili-chipotle-57605
Азу по-татарски;говядина, репчатый лук, соленые огурцы, томатная паста , картофель, мясной бульон, чеснок;Основные блюда;Татарская кухня;https://eda.ru/recepty/osnovnye-blyuda/azu-po-tatarski-21751
Картофель «Айдахо»;молодой картофель, оливковое масло extra virgin, укроп, петрушка, чеснок, tabasco® оригинальный красный, соль;Основные блюда;Американская кухня;https://eda.ru/recepty/osnovnye-blyuda/kartofel-ajdaho-30625
Домашний рататуй;баклажаны, желтый сладкий перец, красный сладкий перец, репчатый лук, чеснок, помидоры, сахар, оливковое масло, томатная паста , петрушка, соль, молотый черный перец;Основные блюда;Французская кухня;https://eda.ru/recepty/osnovnye-blyuda/ratatuj-32534
Курица «Пикассо»;куриная грудка, лук, сладкий перец, чеснок, помидоры, овощной бульонный кубик , сыр, смесь итальянских трав, вода, сливки, оливковое масло, мускатный орех, соль, сливочное масло, молотый черный перец;Основные блюда;Испанская кухня;https://eda.ru/recepty/osnovnye-blyuda/kurica-pikasso-25902
