food;ingredients;category;kitchen;food_url
Салат из красной фасоли с творожным сыром, красным луком и сезонным салатом;молотый черный перец, консервированная фасоль, соль, лимон, чеснок, оливковое масло, рукола, творожный сыр, красный лук;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
Салат с креветками и кунжутом;помидоры, королевские креветки, зеленый салат, огурцы, соль, майонез, кунжутные семечки, молотый черный перец, сушеный красный перец, лимон, оливковое масло;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-krevetkami-kunzhutom-21742
Настоящий греческий салат;помидоры, зеленый перец, маслины, огурцы, сушеный орегано, сыр фета, оливковое масло, соль, красный лук;Салаты;Греческая кухня;https://eda.ru/recepty/salaty/nastojaschij-grecheskij-salat-30893
Салат с обжаренными томатами;помидоры, смесь салатных листьев, чеснок, натуральный йогурт, оливковое масло, соль, молотый черный перец;Салаты;Турецкая кухня;https://eda.ru/recepty/salaty/salat-s-obzharennimi-tomatami-31055
Салат с манго и куриной печенью;куриная печень, манго, смесь салатных листьев, оливковое масло, дижонская горчица, мед, горчица, соль, молотый черный перец;Салаты;Малайзийская кухня;https://eda.ru/recepty/salaty/salat-s-mango-kurinoj-pechenju-23847
Яичный салат;куриное яйцо, майонез, зеленый лук, молотый черный перец, соль;Салаты;Американская кухня;https://eda.ru/recepty/salaty/jaichnij-salat-47456
Льежский салат;молодой картофель, зеленая стручковая фасоль, яблоко, сыровяленая ветчина, репчатый лук, красный винный уксус, яблочный уксус, оливковое масло;Салаты;Бельгийская кухня;https://eda.ru/recepty/salaty/lezhskiy-salat-80724
Салат нисуаз с базиликом;тунец, консервированный тунец, перепелиное яйцо, маринованные мини-артишоки , огурцы, помидоры, вяленые помидоры, сладкий перец, маслины, редис, смесь салатных листьев, салат мини романо, листья сельдерея, кресс-салат, мед, яичный желток, дижонская горчица, хересный уксус, оливковое масло extra virgin, бальзамический уксус, дезодорированное рафинированное растительное масло, соевый соус, базилик, тимьян, чеснок, молотый черный перец, соль;Салаты;Французская кухня;https://eda.ru/recepty/salaty/salat-nisuaz-s-bazilikom-39414
Салат Нисуаз;помидоры, оливковое масло, зеленый сладкий перец, огурцы, консервированный тунец, оливки, базилик, куриное яйцо, зеленый лук, чеснок, соль;Салаты;Французская кухня;https://eda.ru/recepty/salaty/nisuaz-137162
Весенний салат с куриной грудкой;помидоры, куриная грудка, твердый сыр, красная консервированная фасоль, зеленый салат, сухарики, майонез;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/vesennij-salat-s-kurinoj-grudkoj-31099
Салат с жареным баклажаном и перцем;микс тоскана «белая дача», баклажаны, перец чили, кинза, чеснок, красный сладкий перец, грецкие орехи, лимон, зерна граната, оливковое масло, ореховое масло, сахар, свежемолотый черный перец, соль;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-zharenym-baklazhanom-i-percem-92266
