food;ingredients;category;kitchen;food_url
Сэндвичи с тунцом и сыром;консервированный тунец в собственном соку, хлеб для тостов, сыр эмменталь, розовый перец, каперсы, сливочное масло, огурцы;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-tuncom-sirom-29868
Сэндвичи с огурцом;огурцы, сливочное масло, хлеб для тостов, соль;Сэндвичи;Британская кухня;https://eda.ru/recepty/sendvichi/sendvichi-s-ogurcom-139835
Сэндвичи с омлетом;белый хлеб для тостов , ветчина, зеленый салат, куриное яйцо, помидоры, соль, молотый черный перец, майонез, плавленый сыр в нарезке, сливочное масло;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-omletom-48356
Сэндвичи с яйцом и огурцом;огурцы, хлеб для тостов, куриное яйцо, натуральный йогурт, майонез, горчица, зеленый лук, соль;Сэндвичи;Британская кухня;https://eda.ru/recepty/sendvichi/sendvichi-s-yaycom-i-ogurcom-139836
Сэндвичи с семгой и творожным сыром;творожный сыр, оливковое масло, белый хлеб, бальзамический уксус, укроп, слабосоленая семга, листья латука, молотый черный перец;Сэндвичи;Скандинавская кухня;https://eda.ru/recepty/sendvichi/sendvichi-s-semgoy-i-tvorozhnym-syrom-29866
Сэндвичи с уткой;чиабатта, консервированные артишоки, утка, майонез, сыр проволоне, салями, сыр моцарелла, пармская ветчина, оливки, шпинат, рукола;Сэндвичи;Русская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-utkoj-18791
Сэндвичи с грибами и моцареллой;оливковое масло, репчатый лук, свежие грибы, чеснок, белое сухое вино, измельченный свежий тимьян, рубленая петрушка, хлеб для тостов, сливочное масло, сыр моцарелла;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-gribami-mocarelloj-25399
Сэндвичи с копченой моцареллой;чиабатта, сливочное масло, копченый сыр моцарелла, помидоры, листья базилика;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-kopchenoj-mocarelloj-19738
Сэндвичи с осенними овощами;цукини, баклажаны, помидоры, репчатый лук, морковь, сахар, томатная паста , соль, молотый черный перец, оливковое масло, сыр, деревенский хлеб, сушеный базилик;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-osennimi-ovoshhami-34096
Сэндвичи с курицей и беконом;бекон, куриное филе, зеленый салат, помидоры, огурцы, сладкий красный лук, горчица, хлеб для тостов, сыр;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-kuricej-i-bekonom-38870
Сэндвичи со шпротами;французский багет, чеснок, майонез, молотый черный перец, шпроты, огурцы;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-so-shprotami-14750
Сэндвичи с помидорами и базиликом;цельнозерновой хлеб, легкий майонез, помидоры, измельченные листья базилика, крупная соль, свежемолотый черный перец;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-pomidorami-bazilikom-27893
Сэндвичи с ветчиной, сыром и бананом;белый хлеб, ветчина, сыр, бананы, сливочное масло;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-vetchinoj-sirom-i-bananom-54416
Сэндвичи с телятиной, чеддером и яблоками;тосты, телятина, сыр чеддер для сэндвичей, кислые яблоки, горчица с медом, сливочное масло;Сэндвичи;Клубный сэндвич;https://eda.ru/recepty/sendvichi/sjendvichi-s-teljatinoj-chedderom-i-jablokami-53260
Сэндвичи «Моцарелла ин кароцца»;белый хлеб для тостов , молоко, пшеничная мука, сыр моцарелла, оливковое масло extra virgin, куриное яйцо, соль;Сэндвичи;Клубный сэндвич;https://eda.ru/recepty/sendvichi/sjendvichi-mocarella-in-karocca-33161
Сэндвичи с яблоками, ветчиной и чеддером;цельнозерновой хлеб, горчица, ветчина, сыр чеддер, яблоко, сливочное масло;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-jablokami-vetchinoj-chedderom-29312
Сэндвичи на гриле с сыром и яблоками;зеленые яблоки, цельнозерновой хлеб, сыр чеддер, оливковое масло;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-na-grile-s-sirom-jablokami-22636
Сэндвичи на белом хлебе с форшмаком и яблоком;филе сельди, куриное яйцо, зеленые яблоки, сливочное масло, молотый черный перец, белый хлеб для тостов ;Сэндвичи;Открытый бутерброд;https://eda.ru/recepty/sendvichi/sjendvichi-na-belom-hlebe-s-forshmakom-i-jablokom-29867
