food;ingredients;category;kitchen;food_url
Соус-маринад для гриля;соевый соус, красный винный уксус, кайенский перец, соль, растительное масло, молотый черный перец, чеснок;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/sous-marinad-dlja-grilja-16730
Маринад для рыбы на мангале с соевым соусом;соевый соус, зернистая горчица, лимон, кинза, мед, имбирь, молотый черный перец;Соусы и маринады;Китайская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlya-ryby-na-mangale-s-soevym-sousom-174400
Соус-маринад;репчатый лук, петрушка, морковь, растительное масло, томатное пюре, мясной бульон, уксус, молотый красный перец, сахар, соль, лавровый лист;Соусы и маринады;Авторская кухня;https://eda.ru/recepty/sousy-marinady/sous-marinad-17207
Маринад чесночный;красное сухое вино, вода, уксус, соль, корень сельдерея, морковь, чеснок, лавровый лист, черный перец горошком, черный душистый перец;Соусы и маринады;Авторская кухня;https://eda.ru/recepty/sousy-marinady/marinad-chesnochnij-16995
Гранатовый маринад;свежемолотый черный перец, чили-пудра, лавровый лист, листья тимьяна, черная гранатовая патока, красный винный уксус, оливковое масло extra virgin, чеснок;Соусы и маринады;Азербайджанская кухня;https://eda.ru/recepty/sousy-marinady/granatovij-marinad-27761
Апельсиновый маринад с тимьяном;яблочный уксус, концентрированный апельсиновый сок, соевый соус, чеснок, растительное масло, сушеный тимьян, тертая цедра апельсина;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/apelsinovij-marinad-s-timjanom-27735
Маринад с розмарином и тимьяном для курицы;оливковое масло, чеснок, лимонный сок, сушеный тимьян, сушеный розмарин, лимонная цедра;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-rozmarinom-timjanom-dlja-kurici-23256
Мясо в лимонном маринаде;мясо, репчатый лук, лимон, соль, молотый черный перец, мускатный орех;Соусы и маринады;Авторская кухня;https://eda.ru/recepty/sousy-marinady/mjaso-v-limonnom-marinade-16996
Медовый маринад с горчицей;мед, дижонская горчица, красный винный уксус, оливковое масло, свежемолотый черный перец;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/medovij-marinad-s-gorchicej-27757
Кофейно-бальзамический маринад;кипяток, растворимый кофе, коричневый темный сахар, оливковое масло, бальзамический уксус, чеснок, свежемолотый черный перец, соль;Соусы и маринады;;https://eda.ru/recepty/sousy-marinady/kofejno-balzamicheskij-marinad-27725
