food;ingredients;category;kitchen;food_url
Крем-суп из тыквы;молотый черный перец, соль, очищенные семена тыквы, сахар, петрушка, сливки, бренди, сливочное масло, чеснок, красный лук, тыква, куриный бульон;Супы;Французская кухня;https://eda.ru/recepty/supy/krem-sup-iz-tikvi-16754
Суп-пюре из кабачков;растительное масло, сливки 20%-ные, чеснок, репчатый лук, картофель, морковь, молодые кабачки, куриный бульон, белый хлеб, соль, молотый черный перец, зелень;Супы;Европейская кухня;https://eda.ru/recepty/supy/sup-pyure-iz-kabachkov-38993
Сырный крем-суп;лук, картофель, корень сельдерея, оливковое масло, сливочный сыр, сливочное масло, укроп, французский багет, молодая морковь, соль, молотый черный перец;Супы;Французская кухня;https://eda.ru/recepty/supy/sirnij-krem-sup-24805
Томатный суп-пюре;оливковое масло, репчатый лук, чеснок, томатная паста , базилик, помидоры в собственном соку, молоко, сода, сахар, соль, молотый черный перец;Супы;Итальянская кухня;https://eda.ru/recepty/supy/tomatnij-sup-pjure-20131
Суп-пюре из баклажанов;баклажаны, мелко рубленный чеснок, измельченный свежий тимьян, оливковое масло, бальзамический уксус, репчатый лук, вода, соль;Супы;Европейская кухня;https://eda.ru/recepty/supy/sup-pjure-iz-baklazhanov-25515
Крем-суп из шампиньонов со сливками;свежие шампиньоны, сливки 25%-ные, сливочное масло, пшеничная мука, оливковое масло, тимьян, чеснок, соль, свежемолотый черный перец, сушеные белые грибы;Супы;Французская кухня;https://eda.ru/recepty/supy/krem-sup-iz-mirpua-shampinonov-so-slivkami-na-kurinom-bulone-21031
Грибной крем-суп;шампиньоны, репчатый лук, чеснок, сливочное масло, оливковое масло, пшеничная мука, белое сухое вино, куриный бульон, сливки, мускатный орех, соль, молотый черный перец, петрушка;Супы;Французская кухня;https://eda.ru/recepty/supy/gribnoy-krem-sup-126247
Крем-суп из шампиньонов и картофеля;шампиньоны, картофель, репчатый лук, сливки 20%-ные, соль, молотый черный перец;Супы;Русская кухня;https://eda.ru/recepty/supy/krem-sup-iz-shampinonov-i-kartofelja-34385
Грибной суп-пюре;шампиньоны, репчатый лук, сливочное масло, сливки 20%-ные, соль, молотый черный перец;Супы;Французская кухня;https://eda.ru/recepty/supy/gribnoj-sup-pjure-15207
Суп-пюре «Дюбарри»;цветная капуста, сливочное масло, лук-порей, куриный бульон, сливки 35%-ные, пшеничная мука, соль, молотый белый перец;Супы;Французская кухня;https://eda.ru/recepty/supy/sup-pyure-dyubarri-126131
Суп-пюре из чечевицы;красная чечевица, репчатый лук, помидоры, морковь, чеснок, белый хлеб, корень имбиря;Супы;Средиземноморская кухня;https://eda.ru/recepty/supy/sup-pjure-iz-chechevici-30588
Крем-суп грибной;свежие грибы, говяжий бульон, сливочное масло, пшеничная мука, сливки 10%-ные, чеснок, соль, молотый черный перец;Супы;Французская кухня;https://eda.ru/recepty/supy/krem-sup-gribnoj-37200
Суп-пюре с шампиньонами и картофелем;шампиньоны, картофель, лук, соль, молотый черный перец, растительное масло, вода, сливки 20%-ные;Супы;Французская кухня;https://eda.ru/recepty/supy/sup-pjure-s-shampinonami-kartofelem-29633
Сырный суп-пюре;курица гриль, плавленый сырок, вода, репчатый лук, молотый черный перец, соль, зелень, чеснок, гренки;Супы;Советская кухня;https://eda.ru/recepty/supy/sirnij-sup-pjure-25802
Крем-суп грибной;свежие грибы, говяжий бульон, сливочное масло, пшеничная мука, сливки 10%-ные, чеснок, соль, молотый черный перец;Супы;Французская кухня;https://eda.ru/recepty/supy/krem-sup-gribnoj-37200
Суп-пюре из чечевицы;красная чечевица, репчатый лук, помидоры, морковь, чеснок, белый хлеб, корень имбиря;Супы;Средиземноморская кухня;https://eda.ru/recepty/supy/sup-pjure-iz-chechevici-30588
Картофельный суп-пюре с грибами шампиньонами;картофель, шампиньоны, репчатый лук, сливки 20%-ные, сливочное масло, соль, зелень;Супы;Французская кухня;https://eda.ru/recepty/supy/kartofelnyy-sup-pyure-s-gribami-shampinonami-27708
Тыквенный суп-пюре;тыква, репчатый лук, чеснок, бульон, сливки 30%-ные, петрушка, соль, молотый черный перец, молотый имбирь, молотый кардамон;Супы;Европейская кухня;https://eda.ru/recepty/supy/tykvennyy-sup-pyure-151380
Луковый крем-суп;лук-порей, картофель, репчатый лук, сливки 10%-ные, ржаные сухарики, сливочное масло;Супы;Французская кухня;https://eda.ru/recepty/supy/lukovij-krem-sup-30267
