food;ingredients;category;kitchen;food_url
Творожный десерт (без выпечки);мягкий творог, сметана 10%-ная, желатин, сахар, фрукты;Выпечка и десерты;Русская кухня;https://eda.ru/recepty/vypechka-deserty/tvorozhnij-desert-bez-vipechki-33617
Шведский десерт без выпечки (Chokladbollar);сахар, сливочное масло, ванильный сахар, какао-порошок, кокосовая стружка, овсяные хлопья быстрого приготовления, крепкий кофе;Выпечка и десерты;Шведская кухня;https://eda.ru/recepty/vypechka-deserty/shvedskij-desert-bez-vipechki-chokladbollar-42293
Ягодно-фруктовый десерт без выпечки;сливочное масло, печенье «юбилейное», желатин, клубничный йогурт, сахар, замороженные ягоды, сливки;Выпечка и десерты;Русская кухня;https://eda.ru/recepty/vypechka-deserty/jagodno-fruktovij-desert-bez-vipechki-33095
Миндальный десерт с абрикосами без выпечки;молотый миндаль, сахар, яичный белок, сахарная пудра, миндальная эссенция , абрикосовый джем, лимонный сок, жидкая глюкоза, абрикосы;Выпечка и десерты;Башкирская кухня;https://eda.ru/recepty/vypechka-deserty/mindalnyy-desert-s-abrikosami-bez-vypechki-24167
Чизкейк с персиками без выпечки;ванилин, сахар, желатин, консервированные персики, печенье «юбилейное», сливочное масло, творог, сливки 30%-ные;Выпечка и десерты;Европейская кухня;https://eda.ru/recepty/vypechka-deserty/chizkejk-s-persikami-bez-vipechki-38864
Печенье без выпечки;овсяные хлопья, сливочное масло, молоко, сахар, какао-порошок, арахисовая паста;Выпечка и десерты;Европейская кухня;https://eda.ru/recepty/vypechka-deserty/pechene-bez-vypechki-140193
Чизкейк без выпечки;печенье, сливочное масло, сливочный сыр, сливки 33%-ные, сахарная пудра, лайм, сахар, кукурузный крахмал, клубничное пюре, клубника;Выпечка и десерты;Американская кухня;https://eda.ru/recepty/vypechka-deserty/chizkeyk-bez-vypechki-152620
Эстонская выпечка;сахар, молоко, сухие дрожжи, сливочное масло, пшеничная мука, соль, яичный желток, растительное масло, молотая корица;Выпечка и десерты;Эстонская кухня;https://eda.ru/recepty/vypechka-deserty/jestonskaja-vipechka-50025
Клубничный торт (без выпечки);топленое масло, шоколадное печенье, клубника, клубничный йогурт, мягкий творог, сахар, сливки 33%-ные, молоко, желатин;Выпечка и десерты;Европейская кухня;https://eda.ru/recepty/vypechka-deserty/klubnichnij-tort-bez-vipechki-32382
Торт желейный с печеньем без выпечки;печенье «юбилейное», сметана, сливочное масло, творог, сахар, желатин, ванильный сахар, лимон, желе из киви, мята;Выпечка и десерты;Европейская кухня;https://eda.ru/recepty/vypechka-deserty/tort-zhelejnij-s-pechenem-bez-vipechki-48870
Малиновый чизкейк без выпечки;малина, печенье, сливочное масло, сливочный сыр, молочный шоколад, сливки, сахар, сахарная пудра;Выпечка и десерты;Американская кухня;https://eda.ru/recepty/vypechka-deserty/malinovij-chizkejk-bez-vipechki-37936
Торт «Муравейник» без выпечки;песочное печенье, грецкие орехи, сливочное масло, вареное сгущенное молоко, мак;Выпечка и десерты;Европейская кухня;https://eda.ru/recepty/vypechka-deserty/tort-muravejnik-bez-vipechki-48316
Творожный крем для выпечки;сливочное масло, ваниль, мягкий творог, сахарная пудра;Выпечка и десерты;Европейская кухня;https://eda.ru/recepty/vypechka-deserty/tvorozhnij-krem-dlja-vipechki-26675
Быстрый торт без выпечки;пшеничная мука, сгущенное молоко, гашеная сода, куриное яйцо, молоко, сливочное масло, сахар, ванилин;Выпечка и десерты;Европейская кухня;https://eda.ru/recepty/vypechka-deserty/bistrij-tort-bez-vipechki-33094
Выпечка с корицей;молоко, сахар, пшеничная мука, маргарин, сахарная пудра, молотая корица, сухие дрожжи;Выпечка и десерты;Русская кухня;https://eda.ru/recepty/vypechka-deserty/vipechka-s-koricej-21878
Творожный торт со сливками без выпечки;сливочное масло, желатин, вода, сахар, творог, сливки 10%-ные, печенье «юбилейное»;Выпечка и десерты;Европейская кухня;https://eda.ru/recepty/vypechka-deserty/tvorozhnyy-tort-so-slivkami-bez-vypechki-38933
Постное шоколадное печенье без выпечки;кленовый сироп, миндальное молоко, кокосовое масло, какао-порошок, овсяные хлопья, хрустящая арахисовая паста, ванильный экстракт, горький шоколад, кокосовая стружка, соль;Выпечка и десерты;Американская кухня;https://eda.ru/recepty/vypechka-deserty/postnoe-shokoladnoe-pechene-bez-vypechki-173311
