food;ingredients;category;kitchen;food_url
Заготовка для борща;белокочанная капуста, свекла, морковь, репчатый лук, помидоры, сладкий перец, томатная паста , растительное масло, соль, сахар, уксус, лавровый лист, черный перец горошком;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/zagotovka-dlya-borscha-152701
Капуста по-грузински;вода, сахар, соль, уксус 9%-ный, белокочанная капуста, свекла, морковь, перец чили, чеснок, черный перец горошком;Заготовки;Грузинская кухня;https://eda.ru/recepty/zagotovki/kapusta-po-gruzinski-137009
Арбузный мед;арбуз, вода;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/arbuznyy-med-137117
Лечо на зиму;сладкий перец, помидоры, базилик, перец чили, чеснок, сахар, растительное масло, уксус 9%-ный, соль;Заготовки;Советская кухня;https://eda.ru/recepty/zagotovki/lecho-na-zimu-151359
Маринованные опята;опята, уксус, соль, лавровый лист, сахар, черный перец горошком, чеснок, гвоздика, душистый перец горошком;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/marinovannye-opyata-94048
Томатная паста;помидоры, оливковое масло, соль, кислота лимонная;Заготовки;Итальянская кухня;https://eda.ru/recepty/zagotovki/tomatnaya-pasta-151190
Варенье из дыни;дыня, сахар, лимон;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/varene-iz-dyni-151266
Варенье из облепихи;облепиха, сахар;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/varene-iz-oblepihi-151361
Варенье из лимона;лимон, сахар;Заготовки;Европейская кухня;https://eda.ru/recepty/zagotovki/varene-iz-limona-151387
Маринованная свекла на зиму;свекла, вода, черный перец горошком, соль, сахар, уксус;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/marinovannaya-svekla-na-zimu-151354
Варенье из винограда;красный виноград без косточек, сахар, вода, кислота лимонная;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/varene-iz-vinograda-151422
Соленые огурцы по бабушкиному рецепту;огурцы, соль, листья черной смородины, листья хрена, хрен, перец чили, стебли укропа, уксус 9%-ный;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/solenye-ogurcy-po-babushkinomu-receptu-138520
Сливовое варенье с ромовым изюмом;темный изюм, ром, сливы, сахар;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/slivovoe-varene-s-romovym-izyumom-139933
Перец на зиму в медовом маринаде;желтый сладкий перец, красный сладкий перец, зеленый перец, оливковое масло, белый винный уксус, гречишный мед, чеснок, соль, черный перец горошком, розмарин;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/perec-na-zimu-v-medovom-marinade-139895
Маринованные белые грибы;белые грибы, соль, сахар, лавровый лист, гвоздика, черный перец горошком, душистый перец горошком, розовый перец, уксус 9%-ный;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/marinovannye-belye-griby-138557
Вяленые помидоры с чесноком и тимьяном;помидоры, оливковое масло, чеснок, тимьян, сахар, соль, молотый черный перец;Заготовки;Итальянская кухня;https://eda.ru/recepty/zagotovki/vyalenye-pomidory-s-chesnokom-i-timyanom-139623
Классическая аджика;помидоры, сладкий перец, красный перец чили, чеснок, соль;Заготовки;Грузинская кухня;https://eda.ru/recepty/zagotovki/klassicheskaya-adzhika-151332
Арбузное варенье;арбуз, сахар, пектин, лимон;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/arbuznoe-varene-174092
Тушенка из свинины;свиная рулька, стебель сельдерея, морковь, репчатый лук, чеснок, палочки корицы, перец чили хлопьями, семена фенхеля, ягоды можжевельника сушеные, черный перец горошком, зеленый перец горошком, мускатный орех, гвоздика, лавровый лист, соль, коричневый сахар;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/tushenka-iz-svininy-138553
Салат из перца с чесноком;сладкий перец, вода, сахар, белый винный уксус, соль, чеснок, оливковое масло, розмарин;Заготовки;Европейская кухня;https://eda.ru/recepty/zagotovki/salat-iz-perca-s-chesnokom-151337
Хрустящие соленые огурцы;огурцы, листья черной смородины, листья вишни, соцветия укропа, чеснок, листья хрена, вода, соль, сахар, черный душистый перец, черный перец горошком, гвоздика, семена горчицы, лавровый лист;Заготовки;Русская кухня;https://eda.ru/recepty/zagotovki/hrustyaschie-solenye-ogurcy-151333
Яблочная горчица;яблоко, сахар, вода, дижонская горчица, агар-агар, белый винный уксус;Заготовки;Авторская кухня;https://eda.ru/recepty/zagotovki/yablochnaya-gorchica-151136
