food;ingredients;category;kitchen;food_url
Завтрак для ленивых;куриное яйцо, мягкий творог, пшеничная мука, сахар, соль;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/zavtrak-dlja-lenivih-21975
Гречневый завтрак;гречневая крупа, рубленая петрушка, рубленая кинза (кориандр), рубленный стебель сельдерея , лимон, оливковое масло, соевый соус;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/grechnevij-zavtrak-22397
Завтрак детства;морковь, яблоко, апельсины, изюм, мед, орехи, молотая корица;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/zavtrak-detstva-22998
Полный английский завтрак;куриное яйцо, свиные сосиски, кровяная колбаса, помидоры, шампиньоны, фасоль в томатном соусе, бекон, молоко, сливочное масло, хлеб для тостов, соль, растительное масло, молотый черный перец, коричневый соус hp;Завтраки;Британская кухня;https://eda.ru/recepty/zavtraki/polnyy-angliyskiy-zavtrak-20740
Низкокалорийный завтрак;зеленый салат, куриное яйцо, помидоры, черемша, российский сыр, соль;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/nizkokalorijnij-zavtrak-21255
Французский завтрак;белый хлеб, молоко, бананы, кардамон;Завтраки;Французская кухня;https://eda.ru/recepty/zavtraki/francuzskij-zavtrak-30669
Полезный завтрак;овес, семена льна, геркулес, клюква;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/poleznij-zavtrak-22515
Клубничный завтрак;клубника, клубничный йогурт, кукурузные хлопья;Завтраки;Американская кухня;https://eda.ru/recepty/zavtraki/klubnichnij-zavtrak-43636
Крестьянский завтрак;вареная колбаса, копченая корейка, репчатый лук, куриное яйцо, молоко, картофель, сливочное масло, соленые огурцы, зеленый лук, соль;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/krestjanskij-zavtrak-15153
Сырники к завтраку;творог, куриное яйцо, сахар, пшеничная мука;Завтраки;Европейская кухня;https://eda.ru/recepty/zavtraki/sirniki-k-zavtraku-47166
Французские гренки к завтраку;батон, молоко, куриное яйцо, соль, растительное масло;Завтраки;Французская кухня;https://eda.ru/recepty/zavtraki/francuzskie-grenki-k-zavtraku-32744
Хачапури к завтраку;сыр сулугуни, молоко, пшеничная мука, куриное яйцо;Завтраки;Грузинская кухня;https://eda.ru/recepty/zavtraki/hachapuri-k-zavtraku-80635
Мексиканский завтрак;тортильи, сыр моцарелла для пиццы, порошок чили, консервированная кукуруза, фасоль в томатном соусе, кинза, петрушка;Завтраки;Мексиканская кухня;https://eda.ru/recepty/zavtraki/meksikanskiy-zavtrak-93826
Пышные оладьи к завтраку;кефир, вода, куриное яйцо, пшеничная мука, сахар, соль, сода;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/pishnie-oladi-k-zavtraku-46225
Творожные булочки на завтрак;куриное яйцо, сахар, соль, ванильный сахар, разрыхлитель, молоко, пшеничная мука, мягкий творог;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/tvorozhnie-bulochki-na-zavtrak-36260
Пышные оладьи к завтраку;кефир, вода, куриное яйцо, пшеничная мука, сахар, соль, сода;Завтраки;Русская кухня;https://eda.ru/recepty/zavtraki/pishnie-oladi-k-zavtraku-46225
Легкий завтрак;помидоры, куриное яйцо, сыр моцарелла, растительное масло, морская соль, прованские травы;Завтраки;Итальянская кухня;https://eda.ru/recepty/zavtraki/legkiyzavtrak-50558
Завтрак Словенский;бекон, сыр гауда, куриное яйцо, горчица, кетчуп, растительное масло, картофель фри, булочка, колбаски;Завтраки;Югославская кухня;https://eda.ru/recepty/zavtraki/zavtrak-slovenskiy-91513
Яйца-крэмбл к завтраку;куриное яйцо, сливки 25%-ные, сливочное масло, соль, свежемолотый черный перец, зеленый лук;Завтраки;Британская кухня;https://eda.ru/recepty/zavtraki/jajca-krjembl-k-zavtraku-50799
Скандинавский завтрак;молотый черный перец, соль, куриное яйцо, сушеные помидоры, слабосоленый лосось, редис, шпинат мини, картофельное пюре, куриный бульон, сливки, шпинат, свекла, сметана 20%-ная, дижонская горчица, растительное масло;Завтраки;Скандинавская кухня;https://eda.ru/recepty/zavtraki/skandinavskiy-zavtrak-94011
